Feature,BuiltInImportance,PermutationImportance,PermutationStd
order_year,0.570113,1.100587,0.041081
order_weekday,0.097749,0.180098,0.011028
state_revenue_share,0.067202,0.046023,0.003507
order_month,0.059308,0.041742,0.003961
ship_mode,0.018188,0.010538,0.002728
ship_mode_ordinal,0.016827,0.009426,0.001751
region,0.007733,0.005105,0.002006
order_quarter,0.012463,0.004264,0.001604
is_holiday_season,0.004688,0.003657,0.001094
region_demand_share,0.005664,0.001578,0.00069
closest_factory_distance_km,0.005346,0.001569,0.000937
division,0.000139,-1.6e-05,1.7e-05
is_cross_border,0.001778,-0.000479,0.00035
factory_utilization_score,0.001339,-0.000515,0.00016
factory,0.002031,-0.001209,0.000186
distance_vs_closest_ratio,0.011124,-0.001934,0.001311
factory_region_distance_km,0.011044,-0.00197,0.001502
product_revenue_rank,0.006388,-0.003266,0.000285
profit_margin_pct,0.006034,-0.003563,0.000602
cost_per_unit,0.008038,-0.003772,0.001009
profit_per_unit,0.007055,-0.003807,0.000749
product_popularity_rank,0.007814,-0.004207,0.000942
product_profit_rank,0.007557,-0.00433,0.000738
product_id,0.008556,-0.005661,0.001023
units,0.055822,-0.006007,0.002432
