Feature,MeanAbsSHAP
order_year,181.647915
order_weekday,34.183131
order_month,9.679684
state_revenue_share,9.434349
units,6.450117
distance_vs_closest_ratio,3.441333
ship_mode,3.228158
ship_mode_ordinal,2.861402
region,2.687679
order_quarter,2.518472
factory_region_distance_km,2.475272
is_holiday_season,1.871699
closest_factory_distance_km,1.865468
product_id,1.523726
product_popularity_rank,1.416983
cost_per_unit,1.275559
region_demand_share,1.225143
product_profit_rank,1.188859
profit_margin_pct,1.086767
profit_per_unit,1.077807
product_revenue_rank,1.039851
is_cross_border,0.564622
factory,0.426701
factory_utilization_score,0.229418
division,0.026269
