order_id,product_id,product_name,division,region,current_production_site,proposed_production_site,current_distance_km,proposed_distance_km,distance_change_km,distance_change_pct,current_lt_pred,proposed_lt_pred,lt_change_days,S_distance,S_cost,S_leadtime,S_utilization,S_risk,composite_score,confidence,recommendation,risk_level,efficiency_class,risk_flags
US-2021-103800-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,1027.392,1027.392,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-112326-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,1049.482,1049.482,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-112326-CHO-NUT-13000,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,Interior,Lot's O' Nuts,Wicked Choccy's,2068.1,1385.4,-682.7,33.01,1120.257,1113.373,-6.884,0.3301,0.5984,0.0061,0.5927,1.0,0.4418,0.8811,STRONG RECOMMEND,Low,MODERATE,
US-2021-112326-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Interior,Lot's O' Nuts,Wicked Choccy's,2068.1,1385.4,-682.7,33.01,1010.12,1017.504,7.384,0.3301,0.5984,-0.0073,0.5927,1.0,0.4398,0.8811,STRONG RECOMMEND,Low,MODERATE,
US-2021-141817-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Atlantic,Wicked Choccy's,Wicked Choccy's,1666.6,1666.6,0.0,0.0,1079.233,1079.233,0.0,0.0,0.5169,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-167199-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,934.59,936.449,1.859,0.8893,0.9417,-0.002,0.5927,1.0,0.7501,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-167199-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,922.203,922.203,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-106054-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,926.372,926.372,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-167199-CHO-NUT-13000,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,926.411,927.412,1.0,0.8893,0.9417,-0.0011,0.5927,1.0,0.7502,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-167199-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,917.92,917.92,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-167199-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,927.195,927.195,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-130813-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Pacific,Wicked Choccy's,Lot's O' Nuts,2428.5,614.5,-1814.0,74.7,952.02,974.205,22.185,0.747,0.8219,-0.0233,0.4416,1.0,0.6336,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-167199-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,916.788,916.209,-0.579,0.8893,0.9417,0.0006,0.5927,1.0,0.7505,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-167199-CHO-FUD-51000,CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,938.649,935.791,-2.859,0.8893,0.9417,0.003,0.5927,1.0,0.7508,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-105417-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,966.731,966.731,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-105417-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,969.429,969.429,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-135405-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,1055.199,1055.199,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-135405-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Interior,Wicked Choccy's,Wicked Choccy's,1116.6,1116.6,0.0,0.0,1102.914,1102.914,0.0,0.0,0.6763,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-149020-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,1157.465,1157.465,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-149020-OTH-GUM-21000,OTH-GUM-21000,Wonka Gum,Other,Gulf,Secret Factory,The Other Factory,1303.8,941.9,-361.9,27.76,1059.634,1066.86,7.227,0.2776,0.727,-0.0068,0.9902,0.6,0.4508,0.8811,STRONG RECOMMEND,Medium,MODERATE,minority_factory
US-2021-130092-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Atlantic,Wicked Choccy's,Wicked Choccy's,1666.6,1666.6,0.0,0.0,1160.837,1160.837,0.0,0.0,0.5169,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-157147-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Pacific,Wicked Choccy's,Lot's O' Nuts,2428.5,614.5,-1814.0,74.7,951.537,971.974,20.437,0.747,0.8219,-0.0215,0.4416,1.0,0.6339,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-109232-CHO-NUT-13000,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,940.391,937.539,-2.852,0.8893,0.9417,0.003,0.5927,1.0,0.7508,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-157147-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Pacific,Wicked Choccy's,Lot's O' Nuts,2428.5,614.5,-1814.0,74.7,946.173,962.435,16.262,0.747,0.8219,-0.0172,0.4416,1.0,0.6345,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-118192-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Atlantic,Lot's O' Nuts,Lot's O' Nuts,703.1,703.1,0.0,0.0,1006.883,1006.883,0.0,0.0,0.7962,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-162775-CHO-TRI-54000,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,922.306,922.306,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-162775-OTH-KAZ-38000,OTH-KAZ-38000,Kazookles,Other,Gulf,The Other Factory,Secret Factory,3393.9,1471.7,-1922.2,56.64,929.001,927.454,-1.547,0.5664,0.5734,0.0017,0.9787,0.6,0.528,0.8811,STRONG RECOMMEND,Medium,HIGH,minority_factory
US-2021-162775-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,926.712,926.712,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-118192-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Atlantic,Lot's O' Nuts,Lot's O' Nuts,703.1,703.1,0.0,0.0,980.386,980.386,0.0,0.0,0.7962,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-162775-CHO-MIL-31000,CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,Gulf,Wicked Choccy's,Wicked Choccy's,567.8,567.8,0.0,0.0,920.898,920.898,0.0,0.0,0.8354,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-157147-CHO-NUT-13000,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,Pacific,Lot's O' Nuts,Wicked Choccy's,3939.3,3450.5,-488.8,12.41,975.626,964.987,-10.639,0.1241,-0.0001,0.0109,0.5927,1.0,0.2105,0.8811,MODERATE RECOMMEND,Low,LOW,
US-2021-162775-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,923.004,921.551,-1.453,0.8893,0.9417,0.0016,0.5927,1.0,0.7506,0.8811,STRONG RECOMMEND,Low,HIGH,
US-2021-149524-OTH-GUM-21000,OTH-GUM-21000,Wonka Gum,Other,Atlantic,Secret Factory,Secret Factory,1010.6,1010.6,0.0,0.0,985.295,985.295,0.0,0.0,0.7071,0.0,0.0,1.0,0.0,0.0,NO CHANGE,Low,NEGLIGIBLE,
US-2021-103366-CHO-SCR-58000,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,Gulf,Lot's O' Nuts,Wicked Choccy's,1817.6,201.3,-1616.3,88.93,964.873,951.985,-12.888,0.8893,0.9417,0.0134,0.5927,1.0,0.7524,0.8811,STRONG RECOMMEND,Low,HIGH,
